,unité urbaine,fauteuils,population unité urbaine,pers/faut
595,Nantes,14850,671849.0,45.2423569023569
596,Nantua,298,4201.0,14.09731543624161
597,Narbonne,1518,56550.0,37.25296442687747
598,Nemours,507,21385.0,42.17948717948718
599,Neufchâteau,385,6926.0,17.98961038961039
600,Neufchâtel-Hardelot,198,7388.0,37.313131313131315
601,Neufchâtel-en-Bray,227,5375.0,23.6784140969163
602,Neuville-de-Poitou,134,5391.0,40.23134328358209
603,Nevers,1816,58706.0,32.32709251101321
604,Nice,21675,955949.0,44.1037600922722
605,Niort,3011,75481.0,25.068415808701427
606,Nogent-le-Rotrou,481,12311.0,25.594594594594593
607,Nogent-sur-Seine,228,6105.0,26.776315789473685
608,Noirmoutier-en-l'Île,500,4721.0,9.442
609,Nontron,169,3990.0,23.609467455621303
610,Nort-sur-Erdre,230,9116.0,39.63478260869565
611,Nouan-le-Fuzelier,200,2370.0,11.85
612,Noyon,643,15528.0,24.149300155520994
613,Nozay,202,4261.0,21.094059405940595
614,Nuits-Saint-Georges,252,6026.0,23.91269841269841
615,Nyons,284,6968.0,24.535211267605632
616,Nérac,326,12321.0,37.79447852760736
617,Nîmes,5103,187346.0,36.71291397217323
618,Obernai,173,13289.0,76.81502890173411
619,Oloron-Sainte-Marie,429,17662.0,41.17016317016317
620,Orbey,186,3596.0,19.333333333333332
621,Orléans,6162,288678.0,46.848101265822784
622,Ornans,153,4530.0,29.607843137254903
623,Orry-la-Ville,186,6655.0,35.77956989247312
624,Orthez,299,13611.0,45.52173913043478
625,Ouistreham,352,9367.0,26.610795454545453
626,Oyonnax,643,34017.0,52.90357698289269
627,Paimpol,196,18273.0,93.2295918367347
628,Palavas-les-Flots,212,5944.0,28.037735849056602
629,Pamiers,275,27492.0,99.97090909090909
630,Panissières,148,2997.0,20.25
631,Paray-le-Monial,513,9637.0,18.785575048732944
632,Parentis-en-Born,300,6677.0,22.256666666666668
633,Paris,218347,10909327.0,49.96325573513719
634,Parthenay,356,18620.0,52.30337078651685
635,Pau,5603,204082.0,36.42370158843477
636,Pauillac,283,4994.0,17.646643109540637
637,Penmarch,235,23075.0,98.19148936170212
638,Perpignan,5665,203988.0,36.00847308031774
639,Persan - Beaumont-sur-Oise,1667,38645.0,23.18236352729454
640,Pertuis,363,20704.0,57.035812672176306
641,Peyrehorade,199,7843.0,39.41206030150754
642,Phalsbourg,160,5339.0,33.36875
643,Piennes,123,4804.0,39.05691056910569
644,Pierrefeu-du-Var,100,6169.0,61.69
645,Pierrelatte,291,13713.0,47.123711340206185
646,Pithiviers,187,11990.0,64.11764705882354
647,Plancher-les-Mines,82,2945.0,35.91463414634146
648,Plestin-les-Grèves,266,5256.0,19.7593984962406
649,Plouescat,225,3564.0,15.84
650,Plougonvelin,129,4283.0,33.201550387596896
651,Plouhinec - Audierne,516,7838.0,15.189922480620154
652,Ploërmel,794,10351.0,13.036523929471032
653,Plélan-le-Grand,192,4073.0,21.213541666666668
654,Pléneuf-Val-André,600,4207.0,7.011666666666667
655,Poitiers,3493,135451.0,38.777841397079875
656,Poix-de-Picardie,220,2425.0,11.022727272727273
657,Poligny,212,4409.0,20.797169811320753
658,Pons,199,4451.0,22.366834170854272
659,Pont-Audemer,633,22500.0,35.54502369668246
660,Pont-Saint-Esprit,188,15909.0,84.62234042553192
661,Pont-Sainte-Maxence,322,17235.0,53.524844720496894
662,Pont-de-Roide,100,5679.0,56.79
663,Pont-l'Abbé,610,15100.0,24.75409836065574
664,Pont-l'Évêque,169,5164.0,30.556213017751478
665,Pont-à-Mousson,501,24139.0,48.181636726546905
666,Pontarlier,964,23374.0,24.24688796680498
667,Pontcharra,288,9707.0,33.704861111111114
668,Pontchâteau,129,11021.0,85.43410852713178
669,Pontivy,806,17965.0,22.289081885856078
670,Pornic,882,20785.0,23.565759637188208
671,Port-Saint-Louis-du-Rhône,213,8503.0,39.92018779342723
672,Porto-Vecchio,298,11934.0,40.04697986577181
673,Pouillon,288,5785.0,20.086805555555557
674,Pouzauges,154,5753.0,37.357142857142854
675,Prades,189,9935.0,52.56613756613756
676,Prayssac,260,3435.0,13.211538461538462
677,Privas,350,15354.0,43.86857142857143
678,Propriano,400,4573.0,11.4325
679,Provins,570,13597.0,23.854385964912282
680,Prunelli-di-Fiumorbo,200,3703.0,18.515
681,Puget-Ville,100,4381.0,43.81
682,Pélussin,164,4837.0,29.49390243902439
683,Périgueux,1920,77210.0,40.213541666666664
684,Péronne,210,9653.0,45.96666666666667
685,Pézenas,219,10019.0,45.74885844748859
686,Questembert,334,7997.0,23.94311377245509
687,Quiberon,242,4731.0,19.549586776859503
688,Quillan,210,3658.0,17.419047619047618
689,Quimper,2772,82761.0,29.856060606060606
690,Quimperlé,248,15004.0,60.5
691,Quintin,200,3051.0,15.255
692,Rabastens,99,8773.0,88.61616161616162
693,Raon-l'Étape,403,8147.0,20.21588089330025
694,Redon,1065,21665.0,20.342723004694836
695,Reichshoffen - Niederbronn-les-Bains,341,14888.0,43.65982404692082
696,Reims,1533,215047.0,140.2785388127854
697,Remiremont,1029,22216.0,21.589893100097182
698,Renazé,218,2594.0,11.899082568807339
699,Rennes,5595,344195.0,61.518319928507594
700,Retiers,169,6247.0,36.96449704142012
701,Revel,193,9916.0,51.37823834196891
702,Ribeauvillé,190,4867.0,25.61578947368421
703,Ribérac,314,5684.0,18.101910828025478
704,Richelieu,246,2252.0,9.154471544715447
705,Riom,542,34742.0,64.09963099630997
706,Riom-ès-Montagnes,184,2553.0,13.875
707,Roanne,2348,81644.0,34.771720613287904
708,Rochefort,1310,39092.0,29.8412213740458
709,Rodez,1603,53839.0,33.586400499064254
710,Romans-sur-Isère,1503,58222.0,38.73719228210246
711,Romilly-sur-Seine,698,17001.0,24.356733524355302
712,Romillé,209,4014.0,19.205741626794257
713,Romorantin-Lanthenay,680,18342.0,26.973529411764705
714,Rostrenen,227,3398.0,14.969162995594713
715,Rouen,12252,477226.0,38.95086516487104
716,Royan,1576,37003.0,23.479060913705585
717,Roye,326,5770.0,17.699386503067483
718,Ruffec,271,4005.0,14.77859778597786
719,Rumilly,516,17786.0,34.468992248062015
720,Ruoms,299,3878.0,12.96989966555184
721,Sablé-sur-Sarthe,360,15026.0,41.73888888888889
722,Saint-Affrique,243,9904.0,40.757201646090536
723,Saint-Aignan,232,7914.0,34.11206896551724
724,Saint-Amand-Montrond,226,12227.0,54.10176991150443
725,Saint-Amand-les-Eaux,1007,34078.0,33.84111221449851
726,Saint-André-de-Cubzac,951,24242.0,25.49106203995794
727,Saint-Arnoult-en-Yvelines,401,6047.0,15.079800498753118
728,Saint-Astier,341,6768.0,19.8475073313783
729,Saint-Aubin-du-Cormier,293,4061.0,13.860068259385665
730,Saint-Avold (partie française),205,34599.0,168.77560975609757
731,Saint-Brevin-les-Pins,828,25415.0,30.694444444444443
